File,Well,Row_dim,Column_dim
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000300/data.raw_20241213_18h15m.pkl,well001,780,780
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000300/data.raw_20241213_18h15m.pkl,well002,1007,1007
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000300/data.raw_20241213_18h15m.pkl,well003,997,997
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000300/data.raw_20241213_18h15m.pkl,well004,860,860
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000300/data.raw_20241213_18h15m.pkl,well005,560,560
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000298/data.raw_20241213_18h15m.pkl,well000,685,685
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000298/data.raw_20241213_18h15m.pkl,well001,779,779
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000298/data.raw_20241213_18h15m.pkl,well002,1006,1006
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000298/data.raw_20241213_18h15m.pkl,well003,1000,1000
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000298/data.raw_20241213_18h15m.pkl,well004,860,860
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000298/data.raw_20241213_18h15m.pkl,well005,565,565
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/ActivityScan/000297/data.raw_20241213_18h15m.pkl,well000,99,99
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/ActivityScan/000297/data.raw_20241213_18h15m.pkl,well001,76,76
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/ActivityScan/000297/data.raw_20241213_18h15m.pkl,well002,300,300
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/ActivityScan/000297/data.raw_20241213_18h15m.pkl,well003,157,157
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/ActivityScan/000297/data.raw_20241213_18h15m.pkl,well004,96,96
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/ActivityScan/000297/data.raw_20241213_18h15m.pkl,well005,68,68
